YEAR,OCC1950,MARST,mariageStatusCount,teacherCount,percent,MaritalStatus,Profession
1880,0,1.0,150,312,48.07692307692308,"Married, spouse present",Accountants and auditors
1880,0,2.0,17,312,5.448717948717949,"Married, spouse absent",Accountants and auditors
1880,0,5.0,21,312,6.730769230769231,Widowed,Accountants and auditors
1880,0,6.0,124,312,39.743589743589745,Never married/single,Accountants and auditors
1900,0,1.0,352,618,56.957928802588995,"Married, spouse present",Accountants and auditors
1900,0,2.0,26,618,4.207119741100324,"Married, spouse absent",Accountants and auditors
1900,0,4.0,4,618,0.6472491909385114,Divorced,Accountants and auditors
1900,0,5.0,26,618,4.207119741100324,Widowed,Accountants and auditors
1900,0,6.0,210,618,33.980582524271846,Never married/single,Accountants and auditors
1910,0,1.0,202,352,57.38636363636363,"Married, spouse present",Accountants and auditors
1910,0,2.0,13,352,3.6931818181818183,"Married, spouse absent",Accountants and auditors
1910,0,4.0,5,352,1.4204545454545454,Divorced,Accountants and auditors
1910,0,5.0,8,352,2.272727272727273,Widowed,Accountants and auditors
1910,0,6.0,124,352,35.22727272727273,Never married/single,Accountants and auditors
1920,0,1.0,709,1205,58.838174273858925,"Married, spouse present",Accountants and auditors
1920,0,2.0,34,1205,2.8215767634854774,"Married, spouse absent",Accountants and auditors
1920,0,4.0,8,1205,0.6639004149377593,Divorced,Accountants and auditors
1920,0,5.0,42,1205,3.4854771784232366,Widowed,Accountants and auditors
1920,0,6.0,412,1205,34.190871369294605,Never married/single,Accountants and auditors
1930,0,1.0,6226,9638,64.59846441170367,"Married, spouse present",Accountants and auditors
1930,0,2.0,237,9638,2.459016393442623,"Married, spouse absent",Accountants and auditors
1930,0,4.0,134,9638,1.3903299439717784,Divorced,Accountants and auditors
1930,0,5.0,227,9638,2.3552604274745796,Widowed,Accountants and auditors
1930,0,6.0,2814,9638,29.196928823407347,Never married/single,Accountants and auditors
1950,0,1.0,2959,3876,76.34158926728585,"Married, spouse present",Accountants and auditors
1950,0,2.0,50,3876,1.2899896800825592,"Married, spouse absent",Accountants and auditors
1950,0,3.0,20,3876,0.5159958720330238,Separated,Accountants and auditors
1950,0,4.0,68,3876,1.7543859649122806,Divorced,Accountants and auditors
1950,0,5.0,67,3876,1.7285861713106296,Widowed,Accountants and auditors
1950,0,6.0,712,3876,18.369453044375643,Never married/single,Accountants and auditors
1960,0,1.0,20773,26734,77.7025510585771,"Married, spouse present",Accountants and auditors
1960,0,2.0,281,26734,1.0510959826438242,"Married, spouse absent",Accountants and auditors
1960,0,3.0,200,26734,0.7481110196753198,Separated,Accountants and auditors
